Brick,,,,,
TIME,delta,Vel(km/h),Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2)
292881,760,0,2.51,5.22,9.1
292885,760,0,2.43,5.14,9.14
292889,760,0,2.39,5.14,9.14
292893,760,0,2.47,5.1,9.22
292896,760,0,2.55,5.14,9.41
292900,760,0,2.63,5.1,9.14
292904,760,0,2.67,5.18,8.98
292909,760,0,2.55,5.18,9.22
292912,760,0,2.51,5.14,9.38
292916,760,0,2.59,5.53,9.26
292920,760,0,2.51,5.18,9.3
292924,760,0,2.63,4.98,9.41
292928,760,0,2.71,5.18,9.41
292931,760,0,2.67,5.26,9.69
292935,760,0,2.79,5.14,9.3
292939,760,0,2.71,5.22,9.3
292943,760,0,2.79,5.22,9.57
292946,760,0,2.75,5.14,9.18
292951,760,0,2.79,5.45,9.1
292955,760,0,2.75,5.14,9.41
292959,760,0,2.67,5.41,9.45
292962,760,0,2.55,5.14,9.65
292966,760,0,2.55,5.1,10.12
292970,760,0,2.55,5.18,10.08
292974,760,0,2.67,5.26,9.77
292977,760,0,2.75,5.49,9.49
292981,760,0,2.63,5.57,8.94
292985,760,0,2.67,5.61,8.83
292989,760,0,2.59,5.3,9.45
292993,760,0,2.55,5.18,9.38
292997,760,0,2.63,5.14,9.1
293001,760,0,2.12,5.61,9.1
293005,760,0,2.9,5.02,9.22
293008,760,0,2.79,5.33,9.89
293012,760,0,2.39,5.45,9.61
293016,760,0,2.59,5.45,9.3
293020,760,0,2.55,5.53,9.45
293024,760,0,2.24,5.45,9.85
293027,760,0,2.43,5.45,9.89
293031,760,0,2.55,5.45,9.89
293036,760,0,2.39,5.73,9.65
293040,760,0,2.67,5.73,9.14
293043,760,0,2.9,5.92,9.06
293047,760,0,2.75,5.84,8.71
293051,760,0,2.79,5.77,9.1
293055,760,0,2.82,5.57,9.3
293058,760,0,2.28,5.41,9.45
293062,760,0,3.65,5.57,9.22
293066,760,0,2.28,5.18,9.41
293070,760,0,2.12,5.88,9.34
293073,760,0,2.59,5.65,9.02
293078,760,0,2.9,5.53,9.18
293082,760,0,2.82,5.69,9.38
293086,760,0,2.9,5.61,9.85
293089,760,0,2.75,5.53,9.38
293093,760,0,2.9,5.65,9.22
293097,760,0,2.63,6,9.06
293101,760,0,2.86,5.88,8.87
293104,760,0,3.3,5.92,8.55
293108,760,0,2.98,6.2,8.32
293112,760,0,2.98,6.16,8.55
293116,760,0,2.75,5.81,9.26
293120,760,0,3.14,5.69,9.41
293124,760,0,3.22,5.65,9.53
293128,760,0,3.1,5.92,9.34
293132,760,0,3.26,6,9.26
293135,760,0,3.22,5.88,9.41
293139,760,0,3.06,5.96,9.06
293143,760,0,2.59,6.32,8.87
293147,760,0,2.43,6.32,8.75
293150,760,0,2.47,6.24,9.02
293154,760,0,2.43,6.04,8.98
293158,760,0,2.35,5.96,9.06
293163,760,0,2.08,5.96,9.06
293166,760,0,2.16,5.96,9.18
293170,760,0,2.12,5.92,8.9
293174,760,0,2.35,6.35,8.94
293178,760,0,2.47,6,8.94
293181,760,0,2.43,6.12,8.98
293185,21170,0.09,2.51,5.77,9.14
293189,21170,0.09,2.59,5.69,8.98
293193,21170,0.09,2.75,5.81,9.18
293197,21170,0.09,2.63,5.88,8.98
293201,21170,0.09,2.63,5.81,8.87
293206,21170,0.09,2.71,5.92,8.94
293209,21170,0.09,2.63,5.88,9.34
293213,21170,0.09,3.1,5.33,9.06
293217,21170,0.09,2.79,5.3,9.3
293221,21170,0.09,2.82,5.22,9.3
293225,21170,0.09,2,5.02,9.81
293229,21170,0.09,1.84,5.14,9.38
293233,21170,0.09,2.35,5.33,9.18
293236,21170,0.09,3.1,5.57,9.1
293240,21170,0.09,3.65,5.88,8.59
293244,21170,0.09,3.65,5.84,8.98
293249,21170,0.09,3.33,5.77,9.14
293253,21170,0.09,2.59,5.57,9.26
293257,21170,0.09,2.43,5.81,9.38
293261,21170,0.09,2.2,5.61,9.41
293264,21170,0.09,1.84,5.3,9.41
293268,21170,0.09,1.8,5.18,9.26
293272,21170,0.09,1.69,5.18,9.02
293276,21170,0.09,1.49,5.06,8.83
293280,21170,0.09,1.37,5.57,8.79
293284,21170,0.09,1.45,5.65,8.79
293288,21170,0.09,1.77,5.65,8.63
293293,21170,0.09,2.08,5.65,9.41
293296,21170,0.09,2.24,5.14,9.38
293300,21170,0.09,2.39,4.71,9.89
293304,21170,0.09,2.24,4.16,10.75
293308,21170,0.09,2.08,4.35,10.98
293312,21170,0.09,1.73,4.35,10.98
293316,21170,0.09,1.49,4.86,10.2
293320,21170,0.09,1.29,5.18,9.73
293324,21170,0.09,1.22,5.41,8.9
293328,21170,0.09,0.78,5.14,8.63
293331,21170,0.09,0.63,5.02,8.9
293336,21170,0.09,0.67,4.9,9.41
293340,21170,0.09,0.71,4.71,9.61
293344,21170,0.09,0.86,5.06,9.53
293348,21170,0.09,0.71,4.98,9.92
293352,21170,0.09,0.67,4.94,9.85
293356,21170,0.09,0.55,4.98,9.38
293359,21170,0.09,0.55,5.37,9.3
293363,21170,0.09,0.55,5.3,8.98
293367,21170,0.09,0.47,5.45,9.18
293371,21170,0.09,0.47,5.14,9.53
293376,21170,0.09,0.43,5.22,9.89
293380,21170,0.09,0.71,5.33,9.81
293384,21170,0.09,0.71,5.77,9.81
293387,21170,0.09,0.59,5.65,10.04
293391,21170,0.09,0.27,5.61,10.28
293395,21170,0.09,0.27,5.96,9.57
293399,21170,0.09,0.63,6.59,9.34
293403,21170,0.09,1.18,6.59,8.9
293407,21170,0.09,1.45,6.59,8.39
293411,21170,0.09,1.57,6.63,8.51
293415,21170,0.09,1.65,6.59,8.28
293419,21170,0.09,1.45,6.71,8.16
293423,21170,0.09,1.29,6.75,8.28
293427,21170,0.09,1.18,6.47,8.71
293431,21170,0.09,1.37,5.84,8.71
293435,21170,0.09,1.45,5.77,8.71
293439,21170,0.09,1.33,5.81,8.67
293443,21170,0.09,1.18,6,8.43
293447,21170,0.09,0.98,5.96,8.36
293450,21170,0.09,0.98,5.96,8.63
293454,21170,0.09,1.41,6.08,8.43
293458,21170,0.09,1.61,6.04,8.59
293463,21170,0.09,2.12,5.92,8.9
293467,21170,0.09,2.16,6,8.87
293471,21170,0.09,2.04,6,9.06
293475,21170,0.09,1.96,5.92,9.14
293478,21170,0.09,1.49,6,8.71
293482,21170,0.09,1.49,5.69,8.87
293486,21170,0.09,1.22,5.49,8.67
293490,21170,0.09,0.94,5.18,8.63
293494,21170,0.09,0.75,5.22,8.75
293498,21170,0.09,0.59,4.98,9.14
293502,21170,0.09,0.43,4.9,9.92
293506,21170,0.09,0.27,4.98,10
293510,21170,0.09,0.67,4.98,9.73
293514,21170,0.09,0.31,4.55,9.89
293518,21170,0.09,0.35,4.79,9.81
293522,21170,0.09,0.35,4.86,9.81
293526,21170,0.09,0.86,4.75,9.61
293530,21170,0.09,1.02,4.63,9.41
293534,21170,0.09,1.26,4.43,9.3
293537,21170,0.09,1.14,4.86,9.34
293541,21170,0.09,0.9,4.39,9.02
293545,21170,0.09,0.47,4.31,9.73
293550,21170,0.09,0.43,4.16,9.65
293554,21170,0.09,0.31,4.35,9.73
293558,21170,0.09,0.51,4.39,10.12
293562,21170,0.09,0.75,4.63,9.96
293566,21170,0.09,0.86,4.71,10.12
293569,21170,0.09,0.9,4.59,10.24
293573,21170,0.09,1.14,4.59,10.16
293577,21170,0.09,1.53,4.47,10.16
293581,21170,0.09,1.65,4.59,9.81
293585,21170,0.09,1.69,4.51,10.08
293590,21170,0.09,1.65,4.59,9.92
293594,21170,0.09,1.8,4.51,9.57
293598,21170,0.09,1.49,4.9,9.26
293602,21170,0.09,1.37,4.94,9.77
293605,21170,0.09,1.22,5.22,9.22
293609,21170,0.09,0.94,5.18,9.1
293613,21170,0.09,0.47,6.04,8.79
